location,date,season,observer,scribe,plot,side,distance,cover,height (m),entry,notes
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,0,1,12.8,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,5,0,3.65,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,10,10,2,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,15,2,9,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,20,3,13.5,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,25,27,16.3,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,30,53,0,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,35,0,2.8,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,40,2,2.9,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,45,10,1.5,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,50,96,0.75,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,0,0,10.8,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,5,0,5.53,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,10,5,0.26,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,15,55,5.09,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,20,0,2.05,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,25,3,4.75,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,30,3,3.6,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,35,5,2.04,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,40,32,2.22,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,45,13,2.45,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,50,85,0.85,CA,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,0,10,4,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,5,48,2,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,10,0,4.5,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,15,4,4,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,20,64,2,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,25,0,10,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,30,8,3,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,35,16,11,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,40,0,8,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,45,0,4,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,50,0,4.5,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,0,24,2,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,5,4,3.5,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,10,84,0,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,15,16,6.5,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,20,0,6,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,25,4,2.6,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,30,88,0.5,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,35,88,0,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,40,20,2.2,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,45,8,2.2,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,50,36,3.6,AC,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,A,0,32,2.3,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,A,5,68,0,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,A,10,92,0,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,A,15,56,2.3,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,A,20,88,0,AS,
