Plot,treatment,UniqueID,season
5,Fenced,882,DRY
5,Fenced,HO951,DRY
5,Fenced,831,DRY
5,Fenced,HO912,DRY
5,Fenced,HO977,DRY
5,Fenced,HO990,DRY
5,Fenced,820,DRY
5,Fenced,814,DRY
5,Fenced,811,DRY
5,Fenced,HO998,DRY
5,Fenced,HO924,DRY
6,Fenced,HO981,DRY
6,Fenced,843,DRY
6,Fenced,842,DRY
6,Fenced,892,DRY
10,Fenced,660,DRY
10,Fenced,642,DRY
10,Fenced,654,DRY
10,Fenced,697,DRY
6,Fenced,704,DRY
6,Fenced,P6-D2-2,DRY
6,Fenced,N/A,DRY
6,Fenced,842,DRY
6,Fenced,603,DRY
6,Fenced,763,DRY
6,Fenced,843,DRY
6,Fenced,648,DRY
6,Fenced,716,DRY
6,Fenced,892,DRY
10,Fenced,654,DRY
10,Fenced,745,DRY
10,Fenced,642,DRY
10,Fenced,P10-B1-2,DRY
10,Fenced,660,DRY
5,Fenced,HO990,DRY
5,Fenced,HO953,DRY
5,Fenced,HO924,DRY
5,Fenced,HO991,DRY
5,Fenced,HO996,DRY
5,Fenced,804,DRY
5,Fenced,823,DRY
5,Fenced,HO977,DRY
5,Fenced,HO951,DRY
5,Fenced,831,DRY
5,Fenced,882,DRY
5,Fenced,HO912,DRY
5,Fenced,811,DRY
5,Fenced,814,DRY
5,Fenced,HO998,DRY
5,Fenced,803,DRY
5,Fenced,HO935,DRY
5,Fenced,613,DRY
5,Fenced,820,DRY
5,Fenced,HO991,DRY
5,Fenced,P5-B3-3,DRY
5,Fenced,HO977,DRY
5,Fenced,803,DRY
5,Fenced,866,DRY
5,Fenced,831,DRY
5,Fenced,823,DRY
5,Fenced,HO935,DRY
5,Fenced,804,DRY
6,Fenced,716,DRY
6,Fenced,842,DRY
6,Fenced,HO981,DRY
6,Fenced,648,DRY
6,Fenced,843,DRY
6,Fenced,704,DRY
6,Fenced,692,DRY
6,Fenced,P6-A2-3,DRY
6,Fenced,726,DRY
6,Fenced,P6-B2-3,DRY
6,Fenced,620,DRY
6,Fenced,734,DRY
6,Fenced,771,DRY
10,Fenced,654,DRY
10,Fenced,660,DRY
10,Fenced,HO945,DRY
10,Fenced,HO933,DRY
10,Fenced,745,DRY
10,Fenced,HO943,DRY
10,Fenced,642,DRY
5,Fenced,882,DRY
5,Fenced,832,DRY
5,Fenced,HO953,DRY
5,Fenced,804,DRY
5,Fenced,866,DRY
5,Fenced,HO905,DRY
5,Fenced,883,DRY
5,Fenced,HO994,DRY
5,Fenced,HO991,DRY
5,Fenced,P5-D1-4,DRY
5,Fenced,HO935,DRY
5,Fenced,803,DRY
5,Fenced,831,DRY
10,Fenced,HO943,DRY
10,Fenced,660,DRY
10,Fenced,HO945,DRY
10,Fenced,755,DRY
10,Fenced,642,DRY
10,Fenced,HO933,DRY
10,Fenced,878,DRY
10,Fenced,654,DRY
6,Fenced,648,DRY
6,Fenced,843,DRY
6,Fenced,734,DRY
6,Fenced,771,DRY
6,Fenced,705,DRY
6,Fenced,842,DRY
6,Fenced,704,DRY
6,Fenced,P6-C4-4,DRY
6,Fenced,P6-C1-4,DRY
6,Fenced,766,DRY
6,Fenced,665,DRY
6,Fenced,716,DRY
6,Fenced,620,DRY
3,Habitat-Modified,P3-D2-1,DRY
8,Habitat-Modified,X2787,DRY
11,Control,P11-C1-1,DRY
11,Control,X2797,DRY
8,Habitat-Modified,X2984,DRY
8,Habitat-Modified,629,DRY
18,Habitat-Modified,X2784,DRY
11,Control,X2985,DRY
2,Control,H0930,DRY
3,Habitat-Modified,917,DRY
2,Control,835,DRY
8,Habitat-Modified,X2984,DRY
8,Habitat-Modified,639,DRY
8,Habitat-Modified,X2976,DRY
8,Habitat-Modified,P8-A1-3,DRY
8,Habitat-Modified,X2785,DRY
18,Habitat-Modified,X2787,DRY
18,Habitat-Modified,X2784,DRY
18,Habitat-Modified,X2776,DRY
18,Habitat-Modified,X2999,DRY
11,Control,X2985,DRY
11,Control,X2992,DRY
11,Control,X2986,DRY
11,Control,X2788,DRY
11,Control,X2797,DRY
3,Habitat-Modified,P3-D3-4,DRY
18,Habitat-Modified,N/A,DRY
18,Habitat-Modified,X2999,DRY
19,Control,X2984,DRY
19,Control,X2787,DRY
19,Control,X2795,DRY
19,Control,X2785,DRY
19,Control,749,DRY
19,Control,629,DRY
11,Control,X2992,DRY
11,Control,X2985,DRY
11,Control,X2790,DRY
8,Habitat-Modified,753,WET
6,Fenced,728,WET
18,Habitat-Modified,730,WET
18,Habitat-Modified,615,WET
6,Fenced,765,WET
6,Fenced,610,WET
6,Fenced,636,WET
6,Fenced,607,WET
6,Fenced,632,WET
6,Fenced,notag,WET
6,Fenced,644,WET
5,Fenced,647,WET
6,Fenced,688,WET
6,Fenced,605,WET
6,Fenced,608,WET
18,Habitat-Modified,notag,WET
3,Habitat-Modified,684,WET
11,Control,721,WET
10,Fenced,703,WET
2,Control,notag,WET
2,Control,notag,WET
3,Habitat-Modified,notag,WET
10,Fenced,notag,WET
10,Fenced,notag,WET
3,Habitat-Modified,notag,WET
