location,date,season,observer,scribe,plot,side,distance,shrub,entry,notes
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,0-10,60.3,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,10-20,62,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,20-30,37,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,30-40,14,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,A,40-50,49,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,0-10,59,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,10-20,46,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,20-30,11,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,30-40,63,CA,
S,2023-06-22,mj23,"Claire, Linda",Charisse,4,B,40-50,74,CA,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,0-10,96,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,10-20,95,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,20-30,99,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,30-40,100,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,A,40-50,100,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,0-10,86,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,10-20,76,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,20-30,93,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,30-40,70,AC,
S,2023-06-22,mj23,"Gugu, Abbey, Curtis, Monica, Alfredo",Amy,11,B,40-50,97,AC,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,A,0-10,73,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,A,10-20,75,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,A,20-30,61,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,A,30-40,86,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,A,40-50,86,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,B,0-10,55,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,B,10-20,39,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,B,20-30,93,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,B,30-40,96,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,12,B,40-50,24,AS,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,13,A,0-10,93,SN,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,13,A,10-20,85,SN,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,13,A,20-30,87,SN,
S,2023-06-23,mj23,"Gugu, Amy, Curtis, Monica, Alfredo",Abbey,13,A,30-40,87,SN,
